year,geo_name,geo,total_reimbursements_b
2010,"Alameda County, CA","05000US06001",8652.0
2014,"Alameda County, CA","05000US06001",8394.0
2013,"Alameda County, CA","05000US06001",8560.0
2012,"Alameda County, CA","05000US06001",8562.0
2011,"Alameda County, CA","05000US06001",8694.0
2010,"Alpine County","05000US06003",8027.0
2011,"Alpine County","05000US06003",5974.0
2013,"Alpine County","05000US06003",6307.0
2014,"Alpine County","05000US06003",6200.0
2012,"Alpine County","05000US06003",6979.0
2013,"Amador County","05000US06005",7371.0
2011,"Amador County","05000US06005",7231.0
2010,"Amador County","05000US06005",7037.0
2012,"Amador County","05000US06005",7583.0
2014,"Amador County","05000US06005",7637.0
2011,"Butte County, CA","05000US06007",8490.0
2012,"Butte County, CA","05000US06007",8710.0
2014,"Butte County, CA","05000US06007",8553.0
2013,"Butte County, CA","05000US06007",8491.0
2010,"Butte County, CA","05000US06007",8673.0
2010,"Calaveras County","05000US06009",7224.0
2014,"Calaveras County","05000US06009",7288.0
2013,"Calaveras County","05000US06009",7297.0
2012,"Calaveras County","05000US06009",7795.0
2011,"Calaveras County","05000US06009",7411.0
2010,"Colusa County","05000US06011",7917.0
2012,"Colusa County","05000US06011",7938.0
2011,"Colusa County","05000US06011",7230.0
2014,"Colusa County","05000US06011",7562.0
2013,"Colusa County","05000US06011",7429.0
2014,"Contra Costa County, CA","05000US06013",8288.0
2010,"Contra Costa County, CA","05000US06013",8826.0
2013,"Contra Costa County, CA","05000US06013",8149.0
2012,"Contra Costa County, CA","05000US06013",8742.0
2011,"Contra Costa County, CA","05000US06013",8690.0
2014,"Del Norte County","05000US06015",7867.0
2012,"Del Norte County","05000US06015",7559.0
2013,"Del Norte County","05000US06015",7692.0
2011,"Del Norte County","05000US06015",7790.0
2010,"Del Norte County","05000US06015",7483.0
2011,"El Dorado County, CA","05000US06017",7930.0
2014,"El Dorado County, CA","05000US06017",7922.0
2010,"El Dorado County, CA","05000US06017",7961.0
2012,"El Dorado County, CA","05000US06017",8039.0
2013,"El Dorado County, CA","05000US06017",7757.0
2014,"Fresno County, CA","05000US06019",8665.0
2013,"Fresno County, CA","05000US06019",8607.0
2011,"Fresno County, CA","05000US06019",8480.0
2010,"Fresno County, CA","05000US06019",8436.0
2012,"Fresno County, CA","05000US06019",8564.0
2011,"Glenn County","05000US06021",7617.0
2013,"Glenn County","05000US06021",7800.0
2012,"Glenn County","05000US06021",7722.0
2014,"Glenn County","05000US06021",8369.0
2010,"Glenn County","05000US06021",7502.0
2012,"Humboldt County, CA","05000US06023",7286.0
2013,"Humboldt County, CA","05000US06023",7081.0
2011,"Humboldt County, CA","05000US06023",7121.0
2010,"Humboldt County, CA","05000US06023",6908.0
2014,"Humboldt County, CA","05000US06023",7028.0
2014,"Imperial County, CA","05000US06025",8761.0
2010,"Imperial County, CA","05000US06025",8563.0
2013,"Imperial County, CA","05000US06025",8646.0
2012,"Imperial County, CA","05000US06025",8540.0
2011,"Imperial County, CA","05000US06025",8633.0
2011,"Inyo County","05000US06027",7451.0
2014,"Inyo County","05000US06027",7365.0
2012,"Inyo County","05000US06027",7696.0
2013,"Inyo County","05000US06027",7580.0
2010,"Inyo County","05000US06027",7178.0
2014,"Kern County, CA","05000US06029",9708.0
2010,"Kern County, CA","05000US06029",9876.0
2011,"Kern County, CA","05000US06029",10055.0
2013,"Kern County, CA","05000US06029",9684.0
2012,"Kern County, CA","05000US06029",9931.0
2013,"Kings County, CA","05000US06031",8736.0
2010,"Kings County, CA","05000US06031",9123.0
2011,"Kings County, CA","05000US06031",8916.0
2012,"Kings County, CA","05000US06031",8726.0
2014,"Kings County, CA","05000US06031",8532.0
2014,"Lake County","05000US06033",8176.0
2010,"Lake County","05000US06033",8630.0
2011,"Lake County","05000US06033",8981.0
2013,"Lake County","05000US06033",8220.0
2012,"Lake County","05000US06033",8490.0
2013,"Lassen County","05000US06035",8587.0
2012,"Lassen County","05000US06035",7965.0
2011,"Lassen County","05000US06035",8156.0
2014,"Lassen County","05000US06035",8149.0
2010,"Lassen County","05000US06035",8292.0
2011,"Los Angeles County, CA","05000US06037",11656.0
2014,"Los Angeles County, CA","05000US06037",11222.0
2013,"Los Angeles County, CA","05000US06037",11512.0
2012,"Los Angeles County, CA","05000US06037",11701.0
2010,"Los Angeles County, CA","05000US06037",11294.0
2012,"Madera County, CA","05000US06039",7860.0
2010,"Madera County, CA","05000US06039",8011.0
2014,"Madera County, CA","05000US06039",7606.0
2011,"Madera County, CA","05000US06039",7995.0
2013,"Madera County, CA","05000US06039",7647.0
2010,"Marin County, CA","05000US06041",7722.0
2013,"Marin County, CA","05000US06041",7837.0
2014,"Marin County, CA","05000US06041",7585.0
2011,"Marin County, CA","05000US06041",7901.0
2012,"Marin County, CA","05000US06041",8030.0
2012,"Mariposa County","05000US06043",7495.0
2011,"Mariposa County","05000US06043",7567.0
2013,"Mariposa County","05000US06043",7661.0
2014,"Mariposa County","05000US06043",8154.0
2010,"Mariposa County","05000US06043",7504.0
2014,"Mendocino County","05000US06045",6712.0
2010,"Mendocino County","05000US06045",7077.0
2013,"Mendocino County","05000US06045",6691.0
2012,"Mendocino County","05000US06045",6550.0
2011,"Mendocino County","05000US06045",6655.0
2012,"Merced County, CA","05000US06047",8232.0
2013,"Merced County, CA","05000US06047",8385.0
2014,"Merced County, CA","05000US06047",8297.0
2010,"Merced County, CA","05000US06047",8299.0
2011,"Merced County, CA","05000US06047",8368.0
2010,"Modoc County","05000US06049",6887.0
2014,"Modoc County","05000US06049",6937.0
2013,"Modoc County","05000US06049",7669.0
2011,"Modoc County","05000US06049",8347.0
2012,"Modoc County","05000US06049",7276.0
2012,"Mono County","05000US06051",7374.0
2011,"Mono County","05000US06051",6769.0
2010,"Mono County","05000US06051",7236.0
2013,"Mono County","05000US06051",8480.0
2014,"Mono County","05000US06051",8058.0
2012,"Monterey County, CA","05000US06053",7482.0
2014,"Monterey County, CA","05000US06053",7306.0
2011,"Monterey County, CA","05000US06053",7715.0
2010,"Monterey County, CA","05000US06053",7633.0
2013,"Monterey County, CA","05000US06053",7580.0
2011,"Napa County, CA","05000US06055",8981.0
2010,"Napa County, CA","05000US06055",8797.0
2013,"Napa County, CA","05000US06055",8228.0
2012,"Napa County, CA","05000US06055",9103.0
2014,"Napa County, CA","05000US06055",7925.0
2010,"Nevada County, CA","05000US06057",7090.0
2011,"Nevada County, CA","05000US06057",7443.0
2014,"Nevada County, CA","05000US06057",7165.0
2012,"Nevada County, CA","05000US06057",7459.0
2013,"Nevada County, CA","05000US06057",7312.0
2011,"Orange County, CA","05000US06059",10511.0
2014,"Orange County, CA","05000US06059",9992.0
2012,"Orange County, CA","05000US06059",10486.0
2013,"Orange County, CA","05000US06059",10125.0
2010,"Orange County, CA","05000US06059",10339.0
2013,"Placer County, CA","05000US06061",7781.0
2012,"Placer County, CA","05000US06061",7901.0
2011,"Placer County, CA","05000US06061",7601.0
2010,"Placer County, CA","05000US06061",7314.0
2014,"Placer County, CA","05000US06061",7571.0
2013,"Plumas County","05000US06063",7920.0
2010,"Plumas County","05000US06063",8050.0
2011,"Plumas County","05000US06063",7950.0
2012,"Plumas County","05000US06063",7584.0
2014,"Plumas County","05000US06063",7610.0
2011,"Riverside County, CA","05000US06065",9595.0
2013,"Riverside County, CA","05000US06065",9395.0
2010,"Riverside County, CA","05000US06065",9351.0
2014,"Riverside County, CA","05000US06065",9285.0
2012,"Riverside County, CA","05000US06065",9809.0
2014,"Sacramento County, CA","05000US06067",7827.0
2010,"Sacramento County, CA","05000US06067",7683.0
2011,"Sacramento County, CA","05000US06067",7917.0
2012,"Sacramento County, CA","05000US06067",7971.0
2013,"Sacramento County, CA","05000US06067",7958.0
2011,"San Benito County","05000US06069",7902.0
2014,"San Benito County","05000US06069",7383.0
2013,"San Benito County","05000US06069",7266.0
2010,"San Benito County","05000US06069",7632.0
2012,"San Benito County","05000US06069",7391.0
2011,"San Bernardino County, CA","05000US06071",10189.0
2010,"San Bernardino County, CA","05000US06071",10035.0
2014,"San Bernardino County, CA","05000US06071",9491.0
2012,"San Bernardino County, CA","05000US06071",10117.0
2013,"San Bernardino County, CA","05000US06071",9880.0
2012,"San Diego County, CA","05000US06073",9131.0
2013,"San Diego County, CA","05000US06073",8881.0
2011,"San Diego County, CA","05000US06073",9215.0
2014,"San Diego County, CA","05000US06073",8629.0
2010,"San Diego County, CA","05000US06073",8945.0
2012,"San Francisco County, CA","05000US06075",7588.0
2013,"San Francisco County, CA","05000US06075",7598.0
2010,"San Francisco County, CA","05000US06075",7645.0
2014,"San Francisco County, CA","05000US06075",7380.0
2011,"San Francisco County, CA","05000US06075",7676.0
2013,"San Joaquin County, CA","05000US06077",8032.0
2012,"San Joaquin County, CA","05000US06077",8655.0
2010,"San Joaquin County, CA","05000US06077",8500.0
2014,"San Joaquin County, CA","05000US06077",8310.0
2011,"San Joaquin County, CA","05000US06077",8648.0
2012,"San Luis Obispo County, CA","05000US06079",7256.0
2014,"San Luis Obispo County, CA","05000US06079",7242.0
2013,"San Luis Obispo County, CA","05000US06079",7163.0
2011,"San Luis Obispo County, CA","05000US06079",7440.0
2010,"San Luis Obispo County, CA","05000US06079",7319.0
2011,"San Mateo County, CA","05000US06081",7256.0
2014,"San Mateo County, CA","05000US06081",7225.0
2012,"San Mateo County, CA","05000US06081",7473.0
2010,"San Mateo County, CA","05000US06081",7437.0
2013,"San Mateo County, CA","05000US06081",7442.0
2010,"Santa Barbara County, CA","05000US06083",7382.0
2014,"Santa Barbara County, CA","05000US06083",7593.0
2012,"Santa Barbara County, CA","05000US06083",7426.0
2011,"Santa Barbara County, CA","05000US06083",7466.0
2013,"Santa Barbara County, CA","05000US06083",7512.0
2013,"Santa Clara County, CA","05000US06085",7714.0
2010,"Santa Clara County, CA","05000US06085",7783.0
2011,"Santa Clara County, CA","05000US06085",7924.0
2012,"Santa Clara County, CA","05000US06085",7875.0
2014,"Santa Clara County, CA","05000US06085",7796.0
2010,"Santa Cruz County, CA","05000US06087",7362.0
2011,"Santa Cruz County, CA","05000US06087",7208.0
2012,"Santa Cruz County, CA","05000US06087",7331.0
2014,"Santa Cruz County, CA","05000US06087",7046.0
2013,"Santa Cruz County, CA","05000US06087",7085.0
2010,"Shasta County, CA","05000US06089",8441.0
2014,"Shasta County, CA","05000US06089",8083.0
2012,"Shasta County, CA","05000US06089",8257.0
2011,"Shasta County, CA","05000US06089",8394.0
2013,"Shasta County, CA","05000US06089",8165.0
2012,"Sierra County","05000US06091",7931.0
2011,"Sierra County","05000US06091",7782.0
2010,"Sierra County","05000US06091",7757.0
2014,"Sierra County","05000US06091",8088.0
2013,"Sierra County","05000US06091",7625.0
2013,"Siskiyou County","05000US06093",6637.0
2012,"Siskiyou County","05000US06093",6623.0
2010,"Siskiyou County","05000US06093",6558.0
2014,"Siskiyou County","05000US06093",6755.0
2011,"Siskiyou County","05000US06093",6521.0
2011,"Solano County, CA","05000US06095",7499.0
2014,"Solano County, CA","05000US06095",7227.0
2012,"Solano County, CA","05000US06095",7536.0
2013,"Solano County, CA","05000US06095",7548.0
2010,"Solano County, CA","05000US06095",7623.0
2014,"Sonoma County, CA","05000US06097",7390.0
2010,"Sonoma County, CA","05000US06097",7684.0
2011,"Sonoma County, CA","05000US06097",7701.0
2012,"Sonoma County, CA","05000US06097",7735.0
2013,"Sonoma County, CA","05000US06097",7169.0
2012,"Stanislaus County, CA","05000US06099",8670.0
2010,"Stanislaus County, CA","05000US06099",8836.0
2011,"Stanislaus County, CA","05000US06099",8617.0
2013,"Stanislaus County, CA","05000US06099",8360.0
2014,"Stanislaus County, CA","05000US06099",8741.0
2011,"Sutter County","05000US06101",8204.0
2014,"Sutter County","05000US06101",7979.0
2012,"Sutter County","05000US06101",8538.0
2010,"Sutter County","05000US06101",7939.0
2013,"Sutter County","05000US06101",8329.0
2010,"Tehama County","05000US06103",7603.0
2012,"Tehama County","05000US06103",7920.0
2011,"Tehama County","05000US06103",7856.0
2013,"Tehama County","05000US06103",7280.0
2014,"Tehama County","05000US06103",7385.0
2010,"Trinity County","05000US06105",7725.0
2013,"Trinity County","05000US06105",7444.0
2011,"Trinity County","05000US06105",7485.0
2014,"Trinity County","05000US06105",7313.0
2012,"Trinity County","05000US06105",6876.0
2012,"Tulare County, CA","05000US06107",8424.0
2010,"Tulare County, CA","05000US06107",8482.0
2013,"Tulare County, CA","05000US06107",8168.0
2011,"Tulare County, CA","05000US06107",8440.0
2014,"Tulare County, CA","05000US06107",8173.0
2014,"Tuolumne County","05000US06109",7552.0
2011,"Tuolumne County","05000US06109",7690.0
2010,"Tuolumne County","05000US06109",7495.0
2012,"Tuolumne County","05000US06109",7679.0
2013,"Tuolumne County","05000US06109",7420.0
2012,"Ventura County, CA","05000US06111",9333.0
2011,"Ventura County, CA","05000US06111",9365.0
2013,"Ventura County, CA","05000US06111",9377.0
2014,"Ventura County, CA","05000US06111",9252.0
2010,"Ventura County, CA","05000US06111",9042.0
2010,"Yolo County, CA","05000US06113",6616.0
2011,"Yolo County, CA","05000US06113",6904.0
2013,"Yolo County, CA","05000US06113",6778.0
2012,"Yolo County, CA","05000US06113",6652.0
2014,"Yolo County, CA","05000US06113",6432.0
2011,"Yuba County","05000US06115",8695.0
2013,"Yuba County","05000US06115",8512.0
2012,"Yuba County","05000US06115",9080.0
2014,"Yuba County","05000US06115",8377.0
2010,"Yuba County","05000US06115",7818.0
